"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1996","20.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1995","20.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1994","20.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1993","19.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1992","19.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1991","18.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1990","18.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1989","17.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1988","17.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1987","17.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1986","16.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1985","16.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1984","16.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1983","15.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1982","15.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1981","15.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1980","14.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1979","14.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1978","14.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1977","13.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1976","13.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Belize","BLZ","1975","13.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2016","14.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2015","13.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2014","13.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2013","12.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2012","12.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2011","11.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2010","11.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2009","10.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2008","10.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2007","10.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2006","9.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2005","9.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2004","8.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2003","8.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2002","8.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2001","7.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","2000","7.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1999","7.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1998","6.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1997","6.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1996","6.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1995","6.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1994","5.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1993","5.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1992","5.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1991","4.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1990","4.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1989","4.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1988","4.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1987","3.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1986","3.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1985","3.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1984","3.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1983","3.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1982","2.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1981","2.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1980","2.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1979","2.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1978","2.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1977","2.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1976","1.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Benin","BEN","1975","1.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2016","8.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2015","8.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2014","7.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2013","7.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2012","7.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2011","6.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2010","6.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2009","6.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2008","5.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2007","5.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2006","5.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2005","4.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2004","4.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2003","4.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2002","4.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2001","3.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","2000","3.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1999","3.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1998","3.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1997","2.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1996","2.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1995","2.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1994","2.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1993","2.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1992","2.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1991","1.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1990","1.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1989","1.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1988","1.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1987","1.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1986","1.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1985","1.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1984","1.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1983","1.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1982","1.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1981","1.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1980","0.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1979","0.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1978","0.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1977","0.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1976","0.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bhutan","BTN","1975","0.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2016","25.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2015","25.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2014","24.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2013","24.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2012","23.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2011","23.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2010","22.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2009","22.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2008","21.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2007","21.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2006","20.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2005","20.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2004","19.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2003","19.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2002","18.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2001","18.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","2000","17.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1999","17.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1998","16.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1997","16.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1996","15.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1995","15.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1994","14.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1993","14.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1992","14.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1991","13.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1990","13.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1989","12.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1988","12.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1987","11.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1986","11.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1985","10.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1984","10.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1983","9.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1982","9.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1981","9.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1980","8.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1979","8.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1978","8.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1977","7.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1976","7.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bolivia","BOL","1975","7.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2016","18.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2015","18.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2014","17.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2013","17.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2012","17.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2011","16.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2010","16.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2009","16.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2008","16.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2007","15.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2006","15.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2005","15.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2004","15.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2003","14.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2002","14.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2001","14.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","2000","14.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1999","13.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1998","13.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1997","13.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1996","13.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1995","13.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1994","12.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1993","12.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1992","12.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1991","12.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1990","11.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1989","11.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1988","11.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1987","11.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1986","10.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1985","10.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1984","10.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1983","10.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1982","9.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1981","9.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1980","9.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1979","8.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1978","8.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1977","8.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1976","8.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Bosnia and Herzegovina","BIH","1975","7.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2016","29.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2015","28.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2014","28.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2013","27.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2012","27.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2011","27.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2010","26.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2009","26.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2008","25.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2007","25.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2006","24.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2005","24.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2004","23.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2003","23.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2002","22.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2001","21.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","2000","21.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1999","20.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1998","20.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1997","19.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1996","18.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1995","17.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1994","16.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1993","16.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1992","15.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1991","14.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1990","13.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1989","12.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1988","11.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1987","10.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1986","9.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1985","8.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1984","8.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1983","7.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1982","7.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Botswana","BWA","1981","6.700","female"
